Year;LingkunganHidup;Jumlah;Budget
2008;6734;573431;0.011743348
2009;7035;716376;0.009820262
2010;7889;725243;0.010877733
2011;11070;836578;0.013232478
2012;11451;964997;0.011866358
2013;12446;1154381;0.010781536
2014;12179;1249943;0.009743644
2015;10679;1392442;0.00766926
2016;12088;1325551;0.009119227
2017;11919;1315526;0.009060254
2018;15680;1454494;0.010780381
2019;17764;1634340;0.010869219
2020;18360.6;1683477.2;0.010906355
2021;16689.9;1954548.5;0.008539005
2022;14109.2;1944542.3;0.007255795
2023;13132.3;2230025.1;0.005888857
2024;14128.1;2467527.5;0.00572561
