Year;TreeCoverLoss;PopulationTotal;ForestArea;ProtectedArea;UrbanGrowth;EnergyUsePerCapita;GDPGrowth;AgriValue;FDIInflow;ODAUSD;Flood;Fire;Drought
2008;1396246.298;240157903;999833.6;6.1;2.966315388;632.5070702;6.0137036;14.48174026;9318453650;1145673340;430;7.999998957;198
2009;1944957.344;243220028;998212.8;6.1;2.906519338;674.8945424;4.628871183;15.29014815;4877369178;902692077.6;488.000002;34;101
2010;1279328.213;246305322;996592;6.1;2.835567188;669.1120789;6.223854181;13.92921271;15292009411;1212579956;1059.999996;4;43
2011;1543627.694;249470032;987329.4;6.1;2.631812161;664.8078937;6.169784208;13.51228707;20564938227;358105194.1;572.9999979;24;219
2012;2260257.895;252698525;978066.8;6.1;2.622843096;680.5465364;6.030050653;13.37397424;21200778608;69008773.8;584.000002;49;263
2013;1139299.824;255852467;968804.2;6.1;2.555894881;696.1928077;5.557263689;13.35669916;23281742362;69474823;725.0000009;25.99999792;66
2014;1894358.959;258877399;959541.6;5.1;2.475694951;704.653772;5.006668426;13.336755;25120732060;-381941589.4;595.999999;101;7
2015;1746464.323;261799249;950279;5.1;2.40223068;698.6607376;4.8763223;13.49264356;19779127977;-28457588.2;524.999999;46;7
2016;2422066.01;264627418;952718;5.1;2.334499959;718.5795349;5.033069183;13.47874855;4541713739;-108278183;824;178;0
2017;1300718.38;267346658;939498;5.1;2.255685661;755.3513042;5.069785901;13.15663085;20510310832;280185241.7;979;96;19
2018;1218733.128;269951846;933442.7;5.3;2.180843456;826.03866;5.17429154;12.80849756;18909826044;962693420.4;872;527;130
2019;1176883.452;272489381;927387.3;5.3;2.121496033;844.8700394;5.01928768;12.71260266;24993551748;-693161743.2;784;746;123
2020;961584.7972;274814866;921332;5.3;2.014731684;848.4367662;-2.065511829;13.69841428;19175077748;1211180786;1519.833333;597;26
2021;841390.1613;276758053;915276.633;5.3;1.843900141;896.8135349;3.702885628;13.28016914;21213080330;626984741.2;1795.333333;578;15
2022;885237.2653;278830529;909221.311;5.3;1.863884714;953.6539285;5.307197227;12.39965016;24702029705;667683776.9;1532;252;4
2023;1395285.387;281190067;903165.959;5.3;1.937899419;976.9499855;5.049023318;12.52942148;21543358781;1155079468;1251;2051;174
2024;1120263.907;283487931;906193.635;5.2;1.887105785;976.9499855;5.030344694;12.60866588;24107310607;1155079468;1420;973;89
